C:\Users\aarnold3\Documents\pythonProject>python main.py
Frequency set to: 100 Hz
Measurement mode set to: Parallel
Primary reading set to: Capacitance
Secondary reading set to: Dissipation
(1.51135e-05, 4.10476, None)
(1.50924e-05, 4.10188, None)
(1.50682e-05, 4.09979, None)
(1.50423e-05, 4.09845, None)
(1.50171e-05, 4.0976, None)
(1.49877e-05, 4.09656, None)
(1.49565e-05, 4.09642, None)
(1.49289e-05, 4.09637, None)
(1.48954e-05, 4.09645, None)
(1.4859e-05, 4.09801, None)
(1.48234e-05, 4.09873, None)
(1.47925e-05, 4.09925, None)
(1.47566e-05, 4.10111, None)
(1.47183e-05, 4.10285, None)
(1.46787e-05, 4.10507, None)
(1.46436e-05, 4.10701, None)
(1.46029e-05, 4.10934, None)
(1.45625e-05, 4.11156, None)
(1.45249e-05, 4.1141, None)
(1.4484e-05, 4.11705, None)
(1.44415e-05, 4.11957, None)
(1.43976e-05, 4.12264, None)
(1.43598e-05, 4.12515, None)
(1.43148e-05, 4.12908, None)
(1.42708e-05, 4.13205, None)
(1.42266e-05, 4.13605, None)
(1.41857e-05, 4.13931, None)
(1.4138e-05, 4.14353, None)
(1.40916e-05, 4.14763, None)
(1.40496e-05, 4.15077, None)
(1.40023e-05, 4.15514, None)
(1.39529e-05, 4.1597, None)
(1.39042e-05, 4.16441, None)
(1.38603e-05, 4.16869, None)
(1.38095e-05, 4.17364, None)
(1.37598e-05, 4.17806, None)
(1.37126e-05, 4.18299, None)
(1.36621e-05, 4.18792, None)
(1.36116e-05, 4.19325, None)
(1.35662e-05, 4.19735, None)
(1.35147e-05, 4.20335, None)
(1.34623e-05, 4.2084, None)
(1.33849e-05, 4.21523, None)
(1.33615e-05, 4.21899, None)
(1.32822e-05, 4.22646, None)
(1.32531e-05, 4.23124, None)
(1.32046e-05, 4.23646, None)
(1.31499e-05, 4.24214, None)
(1.30942e-05, 4.24897, None)
(1.3016e-05, 4.25543, None)
(1.29659e-05, 4.26147, None)
(1.29319e-05, 4.26741, None)
(1.28758e-05, 4.27431, None)
(1.28258e-05, 4.28033, None)
Primary reading set to: Impedance
Secondary reading set to: Phase Angle
(28.5278, -13.0784, None)
(28.6156, -13.0582, None)
(28.695, -13.0392, None)
(28.7826, -13.0171, None)
(28.8725, -12.996, None)
(28.952, -12.9754, None)
Primary reading set to: Direct Current Resistance
(86.3368, None)
(86.4291, None)
(86.5397, None)
(77.4099, None)
(77.4977, None)
(93.0138, None)
Primary reading set to: Capacitance
Secondary reading set to: Dissipation factor
(1.12579e-05, 4.6611, None)
(1.1221e-05, 4.65347, None)
(1.11864e-05, 4.64974, None)
(1.11461e-05, 4.64761, None)
(1.11029e-05, 4.64767, None)
(1.10586e-05, 4.64906, None)
(1.10141e-05, 4.65088, None)
(1.09708e-05, 4.65351, None)
(1.09198e-05, 4.65705, None)
(1.08698e-05, 4.66005, None)
(1.08229e-05, 4.66586, None)
(1.07771e-05, 4.67021, None)
(1.07312e-05, 4.67569, None)
(1.06856e-05, 4.68018, None)
(1.06396e-05, 4.68622, None)
(1.05937e-05, 4.69198, None)
(1.05502e-05, 4.6976, None)
(1.05023e-05, 4.70481, None)
(1.04348e-05, 4.7108, None)
(1.03892e-05, 4.71758, None)
(1.03443e-05, 4.72391, None)
(1.02976e-05, 4.73073, None)
(1.02532e-05, 4.73798, None)
(1.0208e-05, 4.74605, None)
(1.01643e-05, 4.75174, None)
(1.00997e-05, 4.76045, None)
(1.00553e-05, 4.76851, None)
(1.00127e-05, 4.77598, None)
(9.96709e-06, 4.78258, None)
(9.92323e-06, 4.79115, None)
(9.85538e-06, 4.79938, None)
(9.8152e-06, 4.80618, None)
(9.77071e-06, 4.81502, None)
(9.72768e-06, 4.82324, None)
(9.6645e-06, 4.83145, None)
(9.62091e-06, 4.84029, None)
(9.57784e-06, 4.84834, None)
(9.5322e-06, 4.85789, None)
(9.47194e-06, 4.86684, None)
(9.42969e-06, 4.87524, None)
(9.38644e-06, 4.8845, None)
(9.34647e-06, 4.89247, None)
(9.28451e-06, 4.90192, None)
(9.23941e-06, 4.91091, None)
(9.19693e-06, 4.92027, None)
(9.15718e-06, 4.9285, None)
(9.11559e-06, 4.93794, None)
(9.05588e-06, 4.94708, None)
(9.01571e-06, 4.95537, None)
(8.97372e-06, 4.96514, None)
(8.93155e-06, 4.97539, None)
(8.87191e-06, 4.98465, None)
(8.83273e-06, 4.99366, None)
(8.79122e-06, 5.00365, None)
(8.74998e-06, 5.0132, None)
(8.6921e-06, 5.02222, None)
(8.65313e-06, 5.03153, None)
(8.61101e-06, 5.04217, None)
(8.56991e-06, 5.05164, None)
(8.51428e-06, 5.06036, None)
Primary reading set to: Impedance
Secondary reading set to: Phase Angle
(36.6118, -11.1116, None)
(36.7381, -11.089, None)
(36.848, -11.07, None)
(36.9703, -11.0484, None)
(36.6251, -10.9381, None)
(35.7584, -10.9648, None)
Primary reading set to: Direct Current Resistance
(92.9821, None)
(82.2334, None)
(82.9392, None)
(81.3331, None)
(82.3635, None)
(81.0809, None)
